metric,diabetes.csv,diabetes_cv1_0_cl.csv,diabetes_cv1_0.3_cl.csv,diabetes_cv1_0f_cl.csv,diabetes_cv1_0.3f_cl.csv,gi_cancer.csv,gi_cancer_cv1_0_cl.csv,gi_cancer_cv1_0.3_cl.csv,gi_cancer_cv1_0f_cl.csv,gi_cancer_cv1_0.3f_cl.csv
structural,4.833333333333333,5.0,5.0,5.0,5.0,4.833333333333333,5.0,5.0,5.0,5.0
cohesion,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
consistency,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
formalRelationSupport,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
formalisation,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
redundancy,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
tagledness,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
functionaladequacy,3.9090277777777778,3.919444444444444,3.919444444444444,3.919444444444444,3.919444444444444,3.9090277777777778,3.919444444444444,3.919444444444444,3.919444444444444,3.919444444444444
clusteringAndSimilarity,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
consistentSearchAndQuery,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
controlledVocabulary,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
guidanceAndDecisionTrees,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
indexingAndLinking,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
infering,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
knowledgeAcquisition,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
knowledgeReuse,4.375,4.5,4.5,4.5,4.5,4.375,4.5,4.5,4.5,4.5
referenceOntology,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
resultsRepresentation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schemaAndValueReconciliation,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
textAnalysis,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
maintainability,4.503174603174603,4.664285714285714,4.664285714285714,4.664285714285714,4.664285714285714,4.396031746031746,4.664285714285714,4.664285714285714,4.664285714285714,4.664285714285714
analysability,4.5,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.333333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333
changeability,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.142857142857143,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286
modificationStability,4.4,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.2
modularity,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reusability,4.333333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.166666666666667,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333
testeability,4.5,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.333333333333333,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333
