,entity_group,value,score,from,nct_id
0,Diagnostic_procedure,MTD MTD,0.7978639006614685,primary,NCT04752215
1,Lab_value,than 25,0.7924315929412842,primary,NCT04752215
2,Diagnostic_procedure,DLT,0.7534502148628235,primary,NCT04752215
3,Lab_value,equal,0.589031994342804,primary,NCT04752215
4,Lab_value,above 33 percent percent,0.9963799118995667,primary,NCT04752215
5,Duration,Up tolerated toxicity to to 33 3 weeks,0.9994527697563171,primary,NCT04752215
6,Sign_symptom,toxicities,0.7044885754585266,primary,NCT04752215
7,Disease_disorder,DLTs,0.8585972189903259,primary,NCT04752215
8,Duration,Up toxicities tolerated to 3 weeks,0.9974732398986816,primary,NCT04752215
9,Diagnostic_procedure,BI,0.999915361404419,secondary,NCT04752215
10,Lab_value,765049,0.9869318008422852,secondary,NCT04752215
11,Duration,Up to 36 months,0.9874582290649414,secondary,NCT04752215
12,Diagnostic_procedure,concentration-time curve,0.9678789377212524,secondary,NCT04752215
13,Diagnostic_procedure,BI,0.9998101592063904,secondary,NCT04752215
14,Lab_value,765049,0.9106761813163757,secondary,NCT04752215
15,Lab_value,uniform,0.8990684747695923,secondary,NCT04752215
16,Diagnostic_procedure,AUCτ,0.9960175156593323,secondary,NCT04752215
17,Duration,Up to 36 months,0.9994684457778931,secondary,NCT04752215
18,Diagnostic_procedure,Solid Tumors,0.9834784865379333,secondary,NCT04752215
19,Diagnostic_procedure,RECIST,0.9732485413551331,secondary,NCT04752215
20,Duration,Up to 36 months,0.9963485598564148,secondary,NCT04752215
21,Disease_disorder,CRC CRC,0.8960586786270142,primary,NCT00632515
22,Clinical_event,communication,0.9168915748596191,primary,NCT00632515
23,Disease_disorder,FDRs,0.4048347771167755,primary,NCT00632515
24,Subject,FDRs,0.2891823649406433,primary,NCT00632515
25,Duration,2 Years,0.9991880655288696,primary,NCT00632515
26,Clinical_event,follow-up follow-up,0.9945648908615112,primary,NCT04823715
27,Biological_structure,liver,0.5333848595619202,primary,NCT04823715
28,Therapeutic_procedure,transplant transplantation.,0.9421439170837402,primary,NCT04823715
29,Date,10 years after after,0.9988293051719666,primary,NCT04823715
30,Sign_symptom,complication complications,0.994256317615509,primary,NCT02464215
31,Disease_disorder,complication complications,0.7948709726333618,primary,NCT02464215
32,Disease_disorder,Surgical complications,0.7845079302787781,primary,NCT02464215
33,Date,within 30 30 days days after,0.9990679025650024,primary,NCT02464215
34,Date,30 30 days days,0.9996516704559326,primary,NCT02464215
35,Duration,3-year 3-year 3,0.9901707768440247,secondary,NCT02464215
36,Duration,3-year 3-year years,0.5142731666564941,secondary,NCT02464215
37,Duration,3-year 3-year 3 years,0.9951753616333008,secondary,NCT02464215
38,Lab_value,adenoma adenomas,0.8696695566177368,primary,NCT02812550
39,Sign_symptom,detection,0.4140815734863281,primary,NCT02812550
40,Diagnostic_procedure,rate,0.9237483739852905,primary,NCT02812550
41,Lab_value,number number,0.7520927786827087,primary,NCT02812550
42,Diagnostic_procedure,colonoscopies colonoscopies colonoscopies,0.9996507167816162,primary,NCT02812550
43,Diagnostic_procedure,wich,0.9632958769798279,primary,NCT02812550
44,Lab_value,one one,0.8752358555793762,primary,NCT02812550
45,Lab_value,more,0.5805886387825012,primary,NCT02812550
46,Disease_disorder,adenoma adenomas,0.9994217157363892,primary,NCT02812550
47,Disease_disorder,adenomas,0.980833888053894,primary,NCT02812550
48,Date,one one week,0.9990764260292053,primary,NCT02812550
49,Biological_structure,caecal,0.9809793829917908,secondary,NCT02812550
50,Therapeutic_procedure,intubation,0.6421149969100952,secondary,NCT02812550
51,Date,one week,0.9997801780700684,secondary,NCT02812550
52,Date,one week,0.9997860789299011,secondary,NCT02812550
53,Duration,one week,0.7666881084442139,secondary,NCT02812550
54,Diagnostic_procedure,advance adenoma,0.6822049617767334,secondary,NCT02812550
55,Disease_disorder,adenoma,0.8733362555503845,secondary,NCT02812550
56,Diagnostic_procedure,rate,0.9568078517913818,secondary,NCT02812550
57,Distance,10mm,0.9431119561195374,secondary,NCT02812550
58,Severity,high,0.8652370572090149,secondary,NCT02812550
59,Date,component one week,0.9835467338562012,secondary,NCT02812550
60,Diagnostic_procedure,polyp detection rate,0.9925202131271362,secondary,NCT02812550
61,Detailed_description,left,0.6591312885284424,secondary,NCT02812550
62,Biological_structure,colon,0.9695926308631897,secondary,NCT02812550
63,Date,one week,0.8132284879684448,secondary,NCT02812550
64,Diagnostic_procedure,polyp polyps retrieval rate,0.9990026354789734,secondary,NCT02812550
65,Sign_symptom,polyps,0.7121782302856445,secondary,NCT02812550
66,Date,one week,0.9721572995185852,secondary,NCT02812550
67,Detailed_description,caecal caecum,0.9630313515663147,secondary,NCT02812550
68,Diagnostic_procedure,intubation,0.49908578395843506,secondary,NCT02812550
69,Biological_structure,terminal ileum,0.9981086254119873,secondary,NCT02812550
70,Date,one week,0.999545693397522,secondary,NCT02812550
71,Diagnostic_procedure,colonoscopy,0.9216330647468567,secondary,NCT02812550
72,Therapeutic_procedure,withdrawal withdraw,0.6297149658203125,secondary,NCT02812550
73,Diagnostic_procedure,colonoscope,0.9986801147460938,secondary,NCT02812550
74,Biological_structure,caecal pole,0.9890478253364563,secondary,NCT02812550
75,Biological_structure,anus.,0.998237133026123,secondary,NCT02812550
76,Date,one week,0.9892177581787109,secondary,NCT02812550
77,Diagnostic_procedure,Health-related,0.6304265260696411,primary,NCT00867750
78,Diagnostic_procedure,quality of life,0.9895511269569397,primary,NCT00867750
79,Diagnostic_procedure,HRQL,0.5155563354492188,primary,NCT00867750
80,Duration,9 months,0.9995725154876709,primary,NCT00867750
81,Detailed_description,Progression,0.587032675743103,secondary,NCT00867750
82,Sign_symptom,disease progression,0.4611094892024994,secondary,NCT00867750
83,Detailed_description,Morphological,0.9852868318557739,secondary,NCT00867750
84,Sign_symptom,tumour,0.9361553192138672,secondary,NCT00867750
85,Disease_disorder,disease progression,0.8023592233657837,secondary,NCT00867750
86,Disease_disorder,disease progression,0.9746960997581482,secondary,NCT00867750
87,Diagnostic_procedure,Survival,0.9885502457618713,secondary,NCT00867750
88,Date,6 6 and and 12 12 months months,0.9975988268852234,secondary,NCT00867750
89,Therapeutic_procedure,treatment,0.9897443652153015,secondary,NCT00867750
90,Outcome,death,0.8867558240890503,secondary,NCT00867750
91,Biological_structure,portal,0.9999572038650513,secondary,NCT00867750
92,Sign_symptom,disease progression,0.9570498466491699,secondary,NCT00867750
93,Biological_structure,extra-hepatic the,0.9419458508491516,secondary,NCT00867750
94,Biological_structure,extra-hepatic,0.8735949397087097,secondary,NCT00867750
95,Sign_symptom,disease disease progression,0.9663769006729126,secondary,NCT00867750
96,Duration,9 months,0.9991758465766907,secondary,NCT00867750
97,Lab_value,≥ grade 2 2015,0.9996731877326965,primary,NCT01164150
98,Detailed_description,acute,0.9998123049736023,primary,NCT01164150
99,Diagnostic_procedure,genitourinary,0.6922659277915955,primary,NCT01164150
100,Detailed_description,genitourinary,0.30262356996536255,primary,NCT01164150
101,Diagnostic_procedure,GU,0.9716008901596069,primary,NCT01164150
102,Biological_structure,gastrointestinal,0.9143232703208923,primary,NCT01164150
103,Diagnostic_procedure,( (,0.6270109415054321,primary,NCT01164150
104,Diagnostic_procedure,GI,0.5806331634521484,primary,NCT01164150
105,Sign_symptom,toxicity,0.9997877478599548,primary,NCT01164150
106,Diagnostic_procedure,CTCAE,0.9013957977294922,primary,NCT01164150
107,Date,2015,0.927605152130127,primary,NCT01164150
108,Detailed_description,late,0.9767632484436035,secondary,NCT01164150
109,Disease_disorder,GI,0.7466873526573181,secondary,NCT01164150
110,Disease_disorder,GU,0.6228585839271545,secondary,NCT01164150
111,Sign_symptom,toxicity,0.7799708247184753,secondary,NCT01164150
112,Diagnostic_procedure,CTCAE,0.9997938275337219,secondary,NCT01164150
113,Date,2015,0.9692434072494507,secondary,NCT01164150
114,Biological_structure,pelvic,0.7996239066123962,secondary,NCT01164150
115,Therapeutic_procedure,nodal irradiation,0.9577900171279907,secondary,NCT01164150
116,Detailed_description,intensity-modulated,0.9998397827148438,secondary,NCT01164150
117,Therapeutic_procedure,radiotherapy,0.992446780204773,secondary,NCT01164150
118,Biological_structure,implementing using gynecological,0.9709500074386597,secondary,NCT01164150
119,Biological_structure,gynecological,0.9946050047874451,secondary,NCT01164150
120,Date,2015,0.9921838641166687,secondary,NCT01164150
121,Detailed_description,image-guided pathway,0.9998106956481934,secondary,NCT01164150
122,Therapeutic_procedure,radiotherapy,0.9980334639549255,secondary,NCT01164150
123,Date,2015,0.992989182472229,secondary,NCT01164150
124,Detailed_description,loco-regional,0.8898345232009888,secondary,NCT01164150
125,Diagnostic_procedure,CT,0.9998118281364441,secondary,NCT01164150
126,Diagnostic_procedure,biopsy,0.9998431205749512,secondary,NCT01164150
127,Date,2015,0.961192786693573,secondary,NCT01164150
128,Diagnostic_procedure,Quality of life,0.9974215626716614,secondary,NCT01164150
129,Diagnostic_procedure,EORTC EORTC,0.9850935935974121,secondary,NCT01164150
130,Detailed_description,QLQ-C30 QLQ,0.9798926711082458,secondary,NCT01164150
