nct_id,Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,startDate,status,study_type,phases
NCT04752215,A Study Evaluating Different Doses of BI 765049 When Given Alone and When Given With Ezabenlimab to Patients With Advanced Solid Tumors Having the B7-H6 Marker,"Maximum tolerated dose (MTD) in any studied regimen, defined as the highest dose with less than 25 percent (%) risk of the true dose limiting toxicity (DLT) rate being equal to or above 33 percent (%) during the MTD evaluation period, Up to 3 weeks|Number of patients with dose limiting toxicities (DLTs) in the maximum tolerated dose (MTD) evaluation period, Up to 3 weeks","Maximum measured concentration of BI 765049 (Cmax), Up to 36 months|Area under the concentration-time curve of BI 765049 over a uniform dosing interval τ (AUCτ), Up to 36 months|Objective response based on Response Evaluation Criteria in Solid Tumors (RECIST v1.1) in patients with measurable disease, Up to 36 months",,2021-05-06,RECRUITING,INTERVENTIONAL,['PHASE1']
NCT00632515,Screening for Familial Colorectal Cancer (CRC) Patients,"Psychosocial + External factors influencing CRC patients' communication with FDRs about CRC risk & screening information, 2 Years",,,2008-01-29,COMPLETED,OBSERVATIONAL,['NA']
NCT04823715,Transarterial Chemoembolization Plus Hypofractionnated Radiotherapy vs. Surgery in Locally Advanced Hepatocellular Carcinoma: an IPTW Comparison,"Disease-free survival of the patient after start of treatment, Disease-Free Survival (DFS) defined as the time (in months) between the treatment (surgical resection or TACE) and the diagnostic of local, locoregional or distant recurrence, or date of death from any cause; patients who are alive or lost to follow-up at the time of the analysis will be censored on the last follow-up date; patients who have received a liver transplant for non-carcinologic reason will be censored on the date of transplantation., Within 10 years after the treatment (surgical resection or TACE)",,,2020-10-15,COMPLETED,OBSERVATIONAL,['NA']
NCT02464215,Effect of Laparoscopy-Assisted Distal Gastrectomy for Locally Advanced Gastric Cancer,"Postoperative complication rate, Surgical complications within 30 days after surgery, 30 days","3-year disease free survival rate, 3-year disease free survival rate, 3 years",,2014-03-01,UNKNOWN,INTERVENTIONAL,['NA']
NCT02812550,Full-spectrum Endoscopy in Colorectal Cancer Screening,"adenoma detection rate in the two different colonoscopies, number of colonoscopies at wich one or more histologically confirmed adenomas were found divided by the total number of colonoscopies performed in the same time period., one week","time to caecal intubation in each group, time to reach appendicular orifice, one week|total procedure time in each group, time since the begining of the procedure till is totally finish, one week|Adverse events, Any inmediatly complication, one week|advance adenoma rate in each group, 10mm or greater in size, villous component or high grade dysplasia, one week|polyp detection rate in right and left colon in each group, one week|polyp retrieval rate in each group, proportion of resected polyps that were retrieved and sent for histologically analysis, one week|caecal intubation rate in each group, proportion of all colonoscopic procedures in which the caecum, terminal ileum was reached, one week|colonoscopy withdrawal time, average time taken withdraw the colonoscope from the caecal pole to the anus., one week",,2015-05,COMPLETED,INTERVENTIONAL,['NA']
NCT00867750,SIR-Spheres® Microspheres Versus Transarterial Chemoembolisation in Patients With Unresectable Hepatocellular Carcinoma,"Health-related quality of life (HRQL), 9 months","Progression Free Survival (PFS); calculated from the date of first treatment, From the date of first treatment until disease progression|Morphological tumour response; assessed using RESIST criteria, From the date of first treatment until disease progression|Functional tumour response; assessed via tumour marker reduction, From the date of first treatment until disease progression|Survival at 6 and 12 months, 6 and 12 months from the date of first treatment|Overall survival, From the date of first treatment until death|Incidence rate of portal vein invasion, From the date of first treatment until disease progression|Incidence rate of extra-hepatic disease, From the date of first treatment until disease progression|Pharmaco-economic assessment, 9 months",,2006-03,COMPLETED,INTERVENTIONAL,['PHASE2']
NCT01164150,Prospective Randomised Phase II Trial Evaluating Adjuvant Pelvic Radiotherapy Using Either IMRT or 3-Dimensional Planning for Endometrial Cancer. ICORG 09-06,"Reduction in the incidence of ≥ grade 2 acute genitourinary (GU) and gastrointestinal (GI) toxicity according to NCI CTCAE v.3.0, 2015","Incidence of late GI and GU toxicity according to NCI CTCAE v.3.0, 2015|Feasibility of implementing pelvic nodal irradiation using intensity-modulated radiotherapy in gynecological cancer, 2015|Establishment of an image-guided pathway for gynecological cancer radiotherapy, 2015|Rate of loco-regional control as assessed by CT scan, MRI, and biopsy, 2015|Quality of life as assessed using EORTC QLQ-C30 and EORTC QLQ Cervical Cancer Specific Module CX 24 questionnaires, 2015|Rate of disease-free survival, 2015|Overall survival rate, 2015",,2010-03,TERMINATED,INTERVENTIONAL,['PHASE2']
NCT03959150,Metronomic Chemotherapy With Capecitabine for Pancreatic Cancer,"One year disease-free survival, was defined as the rate of disease recurrence, metastasis or death due to disease progression within 1 year after the surgery, 1 year","Overall Survival (OS), was defined as the time from the date of surgery until the date of any death occurred, 5 year|Recurrence-free Survival (RFS), was defined as the time from the date of surgery until the date of local recurrence of the tumor, 1 year|AEs, Hand and foot syndrome and other treatment related AE, 5 year|Exploratory biomarkers, including effects of metronome chemotherapy on immune cells, such as NK cells, T cells, TAMs, B cells, etc, 1 yaer",,2020-01-05,UNKNOWN,INTERVENTIONAL,"['PHASE2', 'PHASE3']"
NCT00372450,Plastic Stents Compared With Metal Stents in Treating Patients With Malignant Dysphagia Caused by Esophageal Cancer or Gastroesophageal Junction Cancer,Change in health-related quality of life from baseline to 30 days and 3 months after self-expanding plastic stent or self-expanding metal stent placement,Cost effectiveness of each type of stent|Degree and duration of improvement of dysphagia|Stent-related morbidities|Time to event (time until first complication)|Overall rate of mortality,,2006-12,WITHDRAWN,INTERVENTIONAL,['NA']
NCT01088815,Hedgehog Inhibitors for Metastatic Adenocarcinoma of the Pancreas,"Progression Free Survival With the Combination of GDC-0449 With Gemcitabine and Nab-paclitaxel., Number of months from time first therapy received to the earliest documented disease progression or death from any cause., 6 years|Safety of Combination Therapy in Patients With Metastatic Adenocarcinoma of the Pancreas as Assessed by Number of Grade 3 or 4 Adverse Events, Number of grade 3 or 4 adverse events as defined by National Cancer Institute Common Toxicity Criteria for Adverse Events (NCI CTCAE v4.0) that occur after Cycle 2, Day 1, 6 years","Efficacy of Combination of GDC-0449 With Gemcitabine and Nab-Paclitaxel as Assessed by Overall Survival, Total number of months alive., 6 years|Efficacy of Combination of GDC-0449 With Gemcitabine and Nab-Paclitaxel as Assessed by Tumor Response, Number of participants with complete (CR) or partial (PR) response as defined by RECIST criteria., 6 years|Efficacy of Combination of GDC-0449 With Gemcitabine and Nab-Paclitaxel as Assessed by Changes in Pancreatic Cancer Stem Cell, Change in number of Pancreatic cancer stem cells in tissue and peripheral blood in tissue biopsy and peripheral blood., 6 years|Efficacy of Combination of GDC-0449 With Gemcitabine and Nab-Paclitaxel as Assessed by Hedgehog Signaling Pathway Downregulation, Hedgehog signaling pathway downregulation as measured by Gli-1 and Patch expression, 6 years",,2010-09-17,COMPLETED,INTERVENTIONAL,['PHASE2']
NCT05513716,Molecular Characterisation of Colorectal Cancer Peritoneal Metastases,"Proportion of genetic mutations, Descriptive analysis of the proportion of genetic mutations identified in colorectal cancer and their matched peritoneal metastases: concordance and discordance rates., 24 months","Proportion differences of genetic mutations, The descriptive difference in proportion of genetic mutations identified in primary colorectal tumours compared to mutations in colorectal cancer peritoneal metastases. Generate hypotheses about changes that occur during the metastatic process., 24 months|Correlations of results, Correlation of results from genetic tests with clinical patient data. Identification of genetic mutations which are associated with differences in survival., 24 months|Association with molecular subtypes and categorical variables, Association between molecular subtypes and categorical variables to be measured by Fisher's exact or X2 tests. Associations with continuous variables will be evaluated by Kruskal-Wallis tests or ANOVA. Kaplan-Meier methods will calculate survival outcomes. Univariate and multivariate cox proportional hazard regression models stratified by tumour subtype will identify predictive factors of clinical outcomes. Results with a p-value \<0.05 will be considered statistically different., 24 months",,2024-02-04,NOT_YET_RECRUITING,OBSERVATIONAL,['NA']
