Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
Renal Mechanism of Action/Splay vs. TmG,"The change in urinary glucose excretion dynamics, after 7 days of treatment","Differences in urinary glucose between healthy and diabetic subjects, at 7 days|Changes in liver glucose production, at one day|Glucose effects on tubular markers, at one day",
Novel Biomarker for Development of T2D,"Relationship between 11β-HSD1 and 5α-reductase activity, and measures of insulin resistance, To assess the relationship between 11β-HSD1 and 5α-reductase activity, and measures of insulin resistance in a cohort of obese children with varying degrees of insulin resistance and glucose intolerance, Two year|Gender and pubertal status, Investigate the role of gender and pubertal status on 11β-HSD1 and 5α-reductase activity, Two year|Compare 11β-HSD1 activity and 5α-reductase activity among obese adolescents with T2D, obese adolescents without T2D and normal weight controls, The investigators hypothesize that obese adolescents with T2D will have the highest levels of 11β-HSD1 activity followed by the obese adolescents with insulin resistance, followed by obese subjects with normal insulin sensitivity. Normal weight control group will have the lowest levels., Two year","Relationship between 11β-HSD1 and 5α-reductase activity, and key metabolic signatures associated with insulin resistance, The investigators hypothesize that 11β-HSD1 activity will be positively associated, and 5α-reductase activity negatively associated, with key metabolic signatures associated with insulin resistance., Two year|Urine metabolic signatures associated with insulin resistance and type 2 diabetes, The investigators would like to validate if urine metabolomic profiling can be used for identifying key metabolomic signatures associated with insulin resistance, Two year|Spot urine for metabolic profiling, The investigators hypothesize that they will identify the same key metabolomic signatures associated with insulin resistance in obese adolescents with T2D compared to obese adolescents without T2D, and normal weight control group in spot fasting am urine samples., Two year|Metabolic signatures correlate with parameters of glucose tolerance, To determine if urinary metabolic signatures correlate with parameters of glucose tolerance in normal weight controls and obese adolescents without T2D, and glycemic control in obese subjects with T2D., Two year",
BM-MNC and UCMSC for Type 2 Diabetes Mellitus Patients,"Decreasing total daily dose of insulin (>= 30%), After intervention, blood glucose level will be reported by the subjects on weekly basis. The insulin dose and/or oral medication will be adjusted accordingly., Before intervention, 1st, 3rd, 6th, and 12th month after intervention","Increasing of C-peptide level, Measurements were obtained with mixed meal tolerance test, Before intervention, 1st, 3rd, 6th, and 12th month after intervention|Decreasing of insulin resistance level, Measurement of HOMA-IR, calculated using fasting C-peptide and fasting plasma glucose formula, Before intervention, 1st, 3rd, 6th, and 12th month after intervention|Immunology/inflammatory markers, Measurements of Interleukin-10 and TNF-alfa from serum and supernatant from PBMC stimulation, Before intervention, 1st, 3rd, 6th, and 12th month after intervention|Adverse events, Thrombosis, hemorrhage, and infection, Up to 12 months after intervention|HbA1c, Stable HbA1c or decreasing HbA1c (from baseline), Before intervention, 1st, 3rd, 6th, and 12th month after intervention",
The Influence of Health Beliefs and Uncertainty on Diabetes Type II Patient Compliance,"Insulin adherence, Average number of positive responses on the questionnaire scale, Forty minutes",,
Dose Response of Eccentric Exercise on Glycemic Control in Type II Diabetes Mellitus,"Glucometer, Glucometer will use to monitor glucose before and after the intervention. Glucometer have poor validity and reliability but consider medical tool for the management of diabetes., 12 week|HBA1c, The A1C test is the most common diagnostic and screening tool used for Type II Diabetes Mellitus (T2DM) management and research, 0 week and 12th week","WHO-QOL (BREF-Urdu version), WHOQOL-BREF is a short version of WHOQOL-100 developed under the supervision of World Health Organization., 0 week,4th week,8th week and 12th week|Six Minutes' Walk Test, The Six-minute walk test (6-MWT) is also a widely used method for evaluating cardiopulmonary performance, 0 week,4th week,8th week and 12th week|Dynamometer, Commonly used devices that measure strength of body and include isometric lower limb muscle strength include dynamometers, 0 week,4th week,8th week and 12th week|Borg's Exertion Scale, Borg scale of exertion is widely used in patients to identify intensity of exercise, 0 week,4th week,8th week and 12th week|BERG Balance Scale, This scale is commonly used to check risk fall in elderly population, 0 week,4th week,8th week and 12th week|Joint error position test, Joint position error (JPE) is widely used to quantitatively assess proprioception in rehabilitation and sport science, 0 week,4th week,8th week and 12th week",
Clinical Study to Compare Various Dosing and Titration Guidelines of Insulin Delivered Via V-Go ® in Patients With Type 2 Diabetes Initiating Basal Bolus Therapy in Primary Care Offices,"A1C, Change change in A1C from baseline (randomization) to endpoint (approximately 16 weeks)., 4 months","Change in glycemic control, • Difference in the change from baseline (randomization) to end of study visit at 4 months on glycemic control (as measured by A1C level) between the two treatment groups in a pragmatic clinical practice setting, 4 months|Patient Treatment Satisfaction, • Between-group and within-group differences (baseline to end of study visit at 4 months) in patient treatment satisfaction in adult Type 2 patient with diabetes in a real world setting, 4 months|Insulin Dose, • Total daily dose of insulin from baseline to end of study and to evaluate the between-group and within-group differences between the two dosing and titration arms, 4 months|A1c at goal, Percentage of patient achieving a A1C of ≤7%, 4 months|7 point glucose profile, Capture and analyze seven-point glucose profile at baseline and end of study, 4 months|Hypoglycemia, Rates of hypoglycemic events and utilization, 4 months",
PPAR-COMBO With Sulfonylurea,Compare change from baseline in HbA1c after 24 weeks of treatment with muraglitazar + glyburide vs placebo + glyburide,"Change in FPG from basline to W24, proportion of subjects receiving therapeutic response at W24, percent change of fasting lipid levels from baseline to W11/12, change in hs-CRP from baseline to W24",
A Study to Evaluate the Effect of Musashino Diabetes Diet in Type II Diabetes Mellitus Disease,"the change of glycosylated hemoglobin (HbA1c), 12 weeks diet control, 12 weeks","the change of patients' fasting blood Glucose, 12 weeks|the change of patients' fasting serum Insulin, 12 weeks|the change of patients' fasting serum C-peptide, 12 weeks|the change of EuroQol EQ-5D questionnaire, 12 weeks|the change of WHO-QoL questionnaire, 12 weeks|the patients' compliance questionnaire, 12 weeks",
Safety And Efficacy Of Empagliflozin In Pakistani Muslim Population With Type Ii Diabetes Mellitus,"Number of participants reported adverse events, Number of participants reported adverse events such as Hypoglycemic events, Hypotension, Dehydration, Urinary tract infection, Diabetic Ketoacidosis, Fungal infection or any other, 24 weeks","Frequency of participants achieved HbA1c level <7%, Frequency of participants achieved HbA1c level \<7%, 24 weeks|Frequency of participants achieved FBS level within normal range, Frequency of participants achieved FBS level within normal range, 24 weeks","Number of participants reduces weight during the therapy, Number of participants reduces weight during the therapy or mean reduction in weight overtime, 24 weeks|Number of participants reduces BMI level as per WHO Asian classification during the therapy, Number of participants reduces BMI or mean reduction in BMI overtime, 24 weeks|Number of participants reduces Waist circumference during the therapy, Number of participants reduces Waist circumference or mean reduction in BMI overtime, 24 weeks|Number of participants changes systolic blood pressure and diastolic blood pressure during the therapy, Number of participants reduces systolic blood pressure and diastolic blood pressure or mean reduction in systolic blood pressure and diastolic blood pressure overtime, 24 weeks|Number of participants changes LDL level and HDL Level during the therapy, Number of participants reduces LDL level and HDL Level or mean reduction in LDL level and HDL Level overtime, 24 weeks|Mean score of diabetes mellitus quality of life, The instrument provides an overall scale score, as well as two subscale scores for 1) satisfaction with treatment, 2) adherence with Self Care Regimen. 15 Items are scored on a 5-point Likert scale and are of two general formats.One format asks about the frequency of negative impact of diabetes itself or of the diabetes treatment and provides response options from 1 (never) to 5 (all the time). The second format asks about satisfaction with treatment and quality of life and is scored from 1 (very satisfied) to 5 (very dissatisfied). Higher scores on DQOL items and subscales are, therefore, negatively valenced, indicating problem frequency or dissatisfaction., 24 weeks"
A Pilot Study of the Effects of Diet and Behavioral Interventions on Health in Diabetics,"Hemoglobin A1c, We test whether Hemoglobin A1c changes from pre-intervention to 3 months. The key outcome measure will compare the two diet groups, but we will also assess whether statistically significant changes occur within groups from pre-intervention to 3 months., Change from baseline to 3 months","Hemoglobin A1c, We test whether Hemoglobin A1c changes from pre-intervention to 6 months. The key outcome measure will compare the two diet groups, but we will also assess whether statistically significant changes occur within groups from pre-intervention to 6 months., Change from baseline to 6 months",
